;I_bat;I_in;V_bat;V_in;P_in;P_bat;E_in;E_bat;0
2019-07-19 20:40:00;-5.508592842809365e-07;-1.1021712709030099e-07;4.200341699802675;0.06407584362876254;7.0444609322705555e-09;-2.313797238737008e-06;;;
2019-07-19 20:45:00;-5.518230033444816e-07;-1.1032143478260869e-07;4.2003496924782615;0.06408374886287625;7.062280873003097e-09;-2.317849590081973e-06;;;
2019-07-19 20:50:00;-5.56119304347826e-07;-1.1121374916387959e-07;4.2003532538494985;0.06429748862876254;7.143761008590541e-09;-2.3358975478464837e-06;;;
2019-07-19 20:55:00;-5.522783377926421e-07;-1.1134276254180602e-07;4.200349117013378;0.06411411246822743;7.128770355481782e-09;-2.319761841294751e-06;;;
2019-07-19 21:00:00;-5.523224615384614e-07;-1.113418795986622e-07;4.200349968812709;0.06409992876588629;7.129304951602665e-09;-2.3199476138428607e-06;;;
2019-07-19 21:05:00;-5.532425217391304e-07;-1.1091468561872909e-07;4.200349546511706;0.06409021673578595;7.1014356075956845e-09;-2.323811941004385e-06;;;
2019-07-19 21:10:00;-5.512516053511706e-07;-1.1006467224080265e-07;4.200340807421405;0.0641456417257525;7.052743773543862e-09;-2.3154446067085157e-06;;;
2019-07-19 21:15:00;-5.529326655518395e-07;-1.091558762541806e-07;4.200342928177258;0.0640577706020067;6.983596016488033e-09;-2.322506831203715e-06;;;
2019-07-19 21:20:00;-5.537058628762541e-07;-1.0926511705685617e-07;4.200340417314382;0.06406794356187291;6.993772467512374e-09;-2.325753131198409e-06;;;
2019-07-19 21:25:00;-5.504587357859531e-07;-1.0939809364548494e-07;4.200338309602007;0.06407294881270903;7.000086378907284e-09;-2.3121129092195907e-06;;;
2019-07-19 21:30:00;-5.504634481605351e-07;-1.0980323076923077e-07;4.200332728618729;0.06402810880602007;7.022933540409271e-09;-2.3121296390329452e-06;;;
2019-07-19 21:35:00;-5.53193066889632e-07;-1.1024577257525083e-07;4.20032667309699;0.06400373156856189;7.047457121515969e-09;-2.323591600110236e-06;;;
2019-07-19 21:40:00;-5.514436789297658e-07;-1.1003773244147158e-07;4.200330422755853;0.06401704035117058;7.034888342786133e-09;-2.3162456332121265e-06;;;
2019-07-19 21:45:00;-5.510194782608696e-07;-1.1034588963210701e-07;4.200328004404683;0.06420190894314382;7.075399934867964e-09;-2.3144625333751682e-06;;;
2019-07-19 21:50:00;-5.559154481605351e-07;-1.0978823076923075e-07;4.200335201923077;0.06420408089297659;7.036621728243685e-09;-2.335031181460665e-06;;;
2019-07-19 21:55:00;-5.544291241610738e-07;-1.0955944295302013e-07;4.20033689597651;0.06406508300671142;7.0075052732673855e-09;-2.328789121738819e-06;;;
2019-07-19 22:00:00;-5.502821304347826e-07;-1.0903257190635452e-07;4.200336295652174;0.06408909949498329;6.980367009059178e-09;-2.311370043430613e-06;;;
2019-07-19 22:05:00;-5.517852608695651e-07;-1.0860684949832776e-07;4.200344185665552;0.06407773285284282;6.951766529272161e-09;-2.317687999910767e-06;;;
2019-07-19 22:10:00;-5.51598602006689e-07;-1.0746848160535117e-07;4.200352301658863;0.06396240731772575;6.868052131439946e-09;-2.316908458056726e-06;;;
